"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
321,"NCT04322773","Anti-il6 Treatment of Serious COVID-19 Disease With Threatening Respiratory Failure","TOCIVID","Recruiting","No Results Available","Corona Virus Disease","Drug: RoActemra iv|Drug: RoActemra sc|Drug: Kevzara sc|Other: Standard medical care","Time to independence from supplementary oxygen therapy|Number of deaths|Days out of hospital and alive|Ventilator free days alive and out of hospital|C-reactive protein (CRP) level|Number of participants with serious adverse events","Marius Henriksen|Lars Erik Kristensen|Frederiksberg University Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 2","200","Other","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","APPI2-CV-2020-01","April 5, 2020","June 1, 2021","June 1, 2021","March 26, 2020",,"April 7, 2020","Bispebjerg-Frederiksberg Hospital, Copenhagen, Denmark|Hillerød Hospital, Hillerød, Denmark",,"https://ClinicalTrials.gov/show/NCT04322773"
322,"NCT04324684","Prognostic Factors Keeping Track for Covid19 Pneumonia","NIKE_C19","Recruiting","No Results Available","Pneumonia, Viral|Hypertension|Diabetes Mellitus|Obesity|Cardiovascular Diseases|Obstructive Lung Disease",,"rate of recovery|time to improvement|efficacy of treatments|organ failure","Catholic University of the Sacred Heart","All","18 Years to 100 Years   (Adult, Older Adult)",,"198","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","20202503","March 31, 2020","May 5, 2020","May 30, 2020","March 27, 2020",,"April 8, 2020","Fondazione Policlinico Universitario A. Gemelli IRCCS, Roma, Italy",,"https://ClinicalTrials.gov/show/NCT04324684"
323,"NCT04337983","Hemodynamic Characteristics of Patients With SARS-CoV-2","PiCCOVID","Not yet recruiting","No Results Available","Coronavirus|SARS-CoV-2|COVID-19|Acute Respiratory Distress Syndrome|Shock|Acute Circulatory Failure|Left Ventricular Dysfunction|Fluid Overload","Device: Transpulmonary thermodilution|Device: Echocardiography","Body temperature|Blood pressure|Pulse (heart rate)|Respiratory rate|Data provided by transpulmonary thermodilution-CI|Data provided by transpulmonary thermodilution-GEDV|Data provided by transpulmonary thermodilution-EVLW|Data provided by transpulmonary thermodilution-PVPI|Incidence of abnormal laboratory test results|Incidence of new-onset or reversible systolic left ventricular dysfunction|Changes of extravascular lung water measured by transpulmonary thermodilution|Changes of pulmonary vascular permeability index measured by transpulmonary thermodilution|Correlation between the hemodynamic characteristics and 90-day mortality","Bicetre Hospital","All","Child, Adult, Older Adult",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2020-A00793-36","April 15, 2020","October 2020","April 2021","April 8, 2020",,"April 8, 2020","Bicetre Hospital, Paris, Val-de-Marne, France",,"https://ClinicalTrials.gov/show/NCT04337983"
324,"NCT04336761","Prevalence of Covid-19 in Children Admitted to Paediatric Emergency Departments During the Pandemic Period in France","INCOVPED","Not yet recruiting","No Results Available","Coronavirus|COVID|Infection Viral","Diagnostic Test: nasopharyngeal swab","Prevalence of positivity of COVID-19 virus measured by rt-PCR|Prevalence of positivity of COVID-19 virus measured by rt-PCR in the following subpopulations of emergency patients|Respiratory signs of children tested within 28 day|Percentage of children hospitalized tested within 28 day|Contact frequency|Prevalence of positivity of other respiratory viruses measured by rt-PCR","University Hospital, Lille","All","up to 18 Years   (Child, Adult)",,"914","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2020_21|2020-A00811-38","April 2020","December 2020","December 2020","April 7, 2020",,"April 7, 2020","CH Louis MOURIER, Colombes, France|Hôpital Mère Enfant CHU, Nantes, France|Hôpitaux Pédiatriques de Nice CHU-Lenval, Nice, France|Hôpital des enfants - CHU, Toulouse, France|CHU de Tours, Tours, France",,"https://ClinicalTrials.gov/show/NCT04336761"
325,"NCT04322786","The Use of Angiotensin Converting Enzyme Inhibitors and Incident Respiratory Infections, Are They Harmful or Protective?",,"Active, not recruiting","No Results Available","Covid-19, Coronavirus, Angiotensin Converting Enzyme Inhibitors, Influenza, Electronic Health Records, Epidemiology, Comorbidity, Incidence, United Kingdom","Drug: ACE inhibitor","Incidence of influenza","University College, London","All","18 Years and older   (Adult, Older Adult)",,"1302508","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","ISAC17_205R","January 1, 1998","May 31, 2016","March 31, 2020","March 26, 2020",,"March 26, 2020",,,"https://ClinicalTrials.gov/show/NCT04322786"
326,"NCT04338672","The Impact of the Covid-19 Outbreak on Emergency Room Attendances of Surgical Patients",,"Not yet recruiting","No Results Available","Emergency Service, Hospital|General Surgery","Other: COVID-19 Pandemic","Rates of emergency visits needing surgical consult|The ratio of severe presentations to non-severe presentations|The impact of age on ED attendance rates|Differences in ED surgical visits (in terms of capacity and severity) of surgical patients depending on the presentation and the co morbidity","Sheba Medical Center","All","18 Years and older   (Adult, Older Adult)",,"1000000","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","SMC-20-7078-YZ-CTIL","April 5, 2020","April 1, 2021","April 1, 2022","April 8, 2020",,"April 8, 2020","Sheba Medical Center, Ramat Gan, Israel",,"https://ClinicalTrials.gov/show/NCT04338672"
327,"NCT04327479","Characterization of Cardiovascular Diseases and Risk Factors in Patients With Suspected SARS-CoV2/Covid-19 Infection",,"Recruiting","No Results Available","Cardiovascular Diseases|Cardiovascular Risk Factor|SARS","Diagnostic Test: Assessment of cardiovascular diseases and cardiovascular risk factors","All-cause mortality|30-day mortality|Major adverse cardiovascular events","University Hospital, Essen","All","18 Years and older   (Adult, Older Adult)",,"6000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","20-9213-BO","March 26, 2020","March 25, 2026","March 25, 2026","March 31, 2020",,"March 31, 2020","University Hospital Essen, Essen, NRW, Germany",,"https://ClinicalTrials.gov/show/NCT04327479"
328,"NCT04322123","Safety and Efficacy of Hydroxychloroquine Associated With Azythromycin in SARS-Cov-2 Virus","Coalition-I","Recruiting","No Results Available","Coronavirus Infections","Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin","Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Presence of virus at day 10 in subset of 180 patients","Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS","All","18 Years and older   (Adult, Older Adult)","Phase 3","630","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Brazil COVID Coalition I Trial","April 6, 2020","August 30, 2020","August 30, 2020","March 26, 2020",,"April 7, 2020","Hospital Geral Clériston Andrade, Feira De Santana, BA, Brazil|Hospital Ana Nery - HAN/SESAB, Salvador, BA, Brazil|HHospital SAMUR, Vitória Da Conquista, BA, Brazil|Hospital Geral de Vitória da Conquista, Vitória Da Conquista, BA, Brazil|Hospital de Brasília, Brasilia, DF, Brazil|Instituto de Cardiologia do Distrito Federal, Brasília, DF, Brazil|Hospital Maternidade São José - UNESC - Fundação Social Rural de Colatina, Colatina, ES, Brazil|Hospital Vila da Serra, Nova Lima, MG, Brazil|Santa Casa de Misericórdia de São João Del Rei, São João Del Rei, MG, Brazil|Associação Evangélica Beneficente de Londrina - Hospital Evangélico de Londrina, Londrina, PR, Brazil|Instituto Estadual do Cérebro Paulo Niemeyer, Rio De Janeiro, RJ, Brazil|Hospital Geral de Caxias do Sul, Caxias do Sul, RS, Brazil|Hospital Santa Rita - Irmandade Santa Casa de Porto Alegre, Porto Alegre, RS, Brazil|Hospital São Francisco - Irmandade Santa Casa de Porto Alegre, Porto Alegre, RS, Brazil|Hospital São José, Criciuma, SC, Brazil|Hospital Baía Sul - Baía Sul Medical Center, Florianópolis, SC, Brazil|Hospital Nereu Ramos, Florianópolis, Sc, Brazil|Centro Hospitalar Unimed, Joinville, SC, Brazil|Hospital de Amor - Unidade Barretos (Fundação PIO XII), Barretos, SP, Brazil|Casa de Saúde Santa Marcelina, São Paulo, SP, Brazil|Hospital Albert Einstein, São Paulo, SP, Brazil|Hospital Beneficência Portuguesa - Real e Benemérita Associação Portuguesa de Beneficência, São Paulo, SP, Brazil|Hospital BP Mirante - Real e Benemérita, São Paulo, SP, Brazil|Hospital das Clínicas da FMUSP, São Paulo, SP, Brazil|Hospital do Servidor Público Estadual - HSPE - IAMSPE, São Paulo, SP, Brazil|Hospital São Paulo - UNIFESP, São Paulo, SP, Brazil|Hospital Sírio-Libanês, São Paulo, SP, Brazil|Hospital SEPACO, São Paulo, S, Brazil",,"https://ClinicalTrials.gov/show/NCT04322123"
329,"NCT04305574","Social Media Use During COVID-19",,"Recruiting","No Results Available","Coronavirus|Depression|Anxiety|Stress","Behavioral: Use of social media during COVID-19","Assessment of COVID-19 situation|Depression, Anxiety and Stress Scale|Familiarity and trust in COVID-related rumours|Availability heuristic","Jean Liu|Yale-NUS College","All","21 Years and older   (Adult, Older Adult)",,"5000","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","2020-CERC-001","March 8, 2020","May 31, 2020","May 31, 2020","March 12, 2020",,"March 17, 2020","Yale-NUS College, Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT04305574"
330,"NCT04326387","Evaluation of Novel Diagnostic Tests for 2019-nCOV","COVIDx","Not yet recruiting","No Results Available","Acute Disease|Coronavirus|Respiratory Viral Infection","Diagnostic Test: SAMBA II (Diagnostic for the Real World)|Diagnostic Test: Public Health England Gold Standard|Diagnostic Test: Cambridge Validated Viral Detection Method|Diagnostic Test: Radiological Detection","SAMBA COVID-19 POC PCR Test|Patient acceptability|Immune Response Positivity","CCTU- Cancer Theme|Cambridge University Hospitals NHS Foundation Trust","All","16 Years and older   (Child, Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","COVIDx","April 8, 2020","April 7, 2021","October 7, 2021","March 30, 2020",,"March 30, 2020",,,"https://ClinicalTrials.gov/show/NCT04326387"
331,"NCT04279795","Detection of 2019 Novel Coronavirus in Multiple Organ System and Its Relationship With Clinical Manifestations",,"Recruiting","No Results Available","Coronavirus",,"Positive rate of 2019 Novel Coronavirus RNA|Survival rate","Third Affiliated Hospital, Sun Yat-Sen University","All","Child, Adult, Older Adult",,"20","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","PL11","January 20, 2020","January 31, 2021","February 28, 2021","February 21, 2020",,"February 21, 2020","The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04279795"
332,"NCT04279782","Clinical Features of Suspected and Confirmed Patients of 2019 Novel Coronavirus Infection",,"Recruiting","No Results Available","Coronavirus","Other: Comprehensive treatment","Survival rate|Chest computed tomography|Recovery Time|Depression evaluation","Third Affiliated Hospital, Sun Yat-Sen University","All","Child, Adult, Older Adult",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","XWX3","January 20, 2020","January 31, 2021","February 28, 2021","February 21, 2020",,"February 24, 2020","The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04279782"
333,"NCT04292327","Clinical Progressive Characteristics and Treatment Effects of 2019-novel Coronavirus","2019-nCoV","Active, not recruiting","No Results Available","Pneumonia Caused by Human Coronavirus",,"Mortality|The time interval of Nucleic acid detection become negative","Fujian Provincial Hospital","All","18 Years to 75 Years   (Adult, Older Adult)",,"400","Other","Observational","Observational Model: Other|Time Perspective: Retrospective","KY-2020-24.01","January 1, 2020","April 30, 2020","July 31, 2020","March 3, 2020",,"March 3, 2020","Fujian Provincial Hospital, Fuzhou, Fujian, China",,"https://ClinicalTrials.gov/show/NCT04292327"
334,"NCT04269525","Umbilical Cord(UC)-Derived Mesenchymal Stem Cells(MSCs) Treatment for the 2019-novel Coronavirus(nCOV) Pneumonia",,"Recruiting","No Results Available","Pneumonia, Viral|Pneumonia, Ventilator-Associated","Biological: UC-MSCs","Oxygenation index|28 day mortality|Hospital stay|2019-nCoV nucleic acid test|Improvement of lung imaging examinations|White blood cell count|Lymphocyte count|Lymphocyte percentage|Procalcitonin|interleukin(IL)-2|IL-4|IL-6|IL-8|IL-10|tumor necrosis factor(TNF)-α|γ-interferon(IFN)","ZhiYong Peng|Tuohua Biological Technology Co. Ltd|Zhongnan Hospital","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","10","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","2020002","February 6, 2020","April 30, 2020","September 30, 2020","February 13, 2020",,"February 17, 2020","Zhongnan Hospital of Wuhan University, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04269525"
335,"NCT04261907","Evaluating and Comparing the Safety and Efficiency of ASC09/Ritonavir and Lopinavir/Ritonavir for Novel Coronavirus Infection",,"Not yet recruiting","No Results Available","2019-nCoV","Drug: ASC09/ritonavir group|Drug: lopinavir/ritonavir group","The incidence of composite adverse outcome|Time to recovery|Rate of no fever|Rate of no cough|Rate of no dyspnea|Rate of no requring supplemental oxygen|Rate of undectable viral RNA|Rate of mechanical ventilation|Rate of ICU admission|Time and rate of laboratory indicators related to disease improvement to return to normal","First Affiliated Hospital of Zhejiang University|Ascletis Pharmaceuticals Co., Ltd.","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","160","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ASC09F-CTP-ZY-01","February 7, 2020","May 31, 2020","June 30, 2020","February 10, 2020",,"February 10, 2020",,,"https://ClinicalTrials.gov/show/NCT04261907"
